Name,Country,Episodes,Score,Number_of_rates,Description,Genres,Tag,Director,Screenwriter
Collectors,South Korea ,,7.9,"1,706","Kang Dong Goo is an elite grave robber. He works with ancient tomb mural expert Dr. Jones and legendary shoveler Sabdari. Meanwhile, curator Yoon is an expert in ancient art. She offers an attractive but dangerous deal to Kang Dong Goo.

(Source: AsianWiki) ","Action,  Adventure,  Comedy,  Crime ",Heist Swindler Male Lead Thief Male Lead Criminal Male Lead Adopted Male Lead Attempted Murder Ancient Treasure Historical Artifacts Tomb Raiding Teamwork,Park Jung Bae ,Ryu Sun Kyu 
True Mothers,Japan ,,7.9,191,"Kurihara Kiyokazu and Satoko are a married couple. They do not have children. They learn about plenary adoption and adopt a baby son. 6 years later, the couple live happily with their son Asato. They receive a phone call from a woman, who introduces herself as Katakura Hikari. She is Asato's birth mother. She tells them she wants her son back, but, if she can't, she wants money.

Kiyokazu and Satoko met Hikari one time in the past. At that time, Hikari was 14 years old. She was a nice girl, who gave them a letter for baby Asato. But when Kiyokazu and Satoko meet Hikari again, there is no image of Hikari as a nice girl anymore. Who is she? What is her purpose?

(Source: AsianWiki)

~~ Adapted from the novel ""Asa ga Kuru"" (朝が来る) by Tsujimura Mizuki (辻村深月).","Drama,  Family ",Married Female Lead Married Male Lead Teenage Pregnancy Mother-Son Relationship Mother-Daughter Relationship Father-Son Relationship Adoption Family Pressure Adapted From A Novel,er & Director: Kawase  Naomi ,Takahashi Izumi 
Samjin Company English Class,South Korea ,,7.9,948,"In 1995, Lee Ja Young, Jung Yoo Na, and Sim Bo Ram are friends and co-workers at Samjin Company. They have been working there for 8 years. They are good at their work, but, because of their high school only educational backgrounds, they are still at the bottom of the company.

One day, the company announces that any employee that attains a score of 600 or higher on the TOEIC (Test of English for International Communication) exam will receive a promotion to assistant manager. Employees who rank at the bottom of the company attend a Samjin Co. English Class in hopes of receiving the promotion. They dream of doing real work, rather than making coffee, cleaning up and running to make copies. Lee Ja Young, Jung Yoo Na and Sim Bo Ram attend the Samjin Co. English Class and study hard for the TOEIC exam.

Meanwhile, Lee Ja Young notices wastewater discharge from a Samjin factory affecting the environment. She tries to make a report to the company, but the company ignores her. Lee Ja Young, Jung Yoo Na and Sim Bo Ram struggle to expose corruption inside their company.

(Source: AsianWiki)","Mystery,  Comedy,  Drama ",Smart Female Lead Strong Female Lead Investigation Environment Contamination Long Time Friends Hardworking Female Lead Sismance Workplace Setting Office Setting Female Centered Plot,"er & Director: Lee Jong Pil,  Lee Jung Beom ",
Atsu Hime,Japan ,50,7.9,284,"The 47th NHK Taiga Drama is a life story of Atsuhime who was born in Kagoshima Prefecture, then called Satsuma, and became the wife of Tokugawa Iesada, the 13th shogun of the Tokugawa shogunate. She accedes to the highest rank in Ooku, the inner palace of the Edo castle where women related to the reigning shogun resided. Iesada dies soon after their marriage and Atsuhime assumes the name Tenshoin at the age of 23. She exerts herself for the Tokugawa clan and for the nation during the upheaval in the Meiji Restoration, headed by those from Satsuma. 
In 1835, Shimazu Tadatake, head of the Imaizumi-Shimazu family of the Satsuma clan, and Oyuki are blessed with a long-awaited daughter, Okatsu, who later becomes Atsuhime. She grows up as a tomboy, full of wonders, yet warm-hearted. Meanwhile, as the Satsuma clan is undergoing financial reform, headed by chief retainer Zusho, Tadatake is punished for being lenient with farmers. Okatsu, unable to absorb why her father is punished, charges over to Zusho.

(Source: DramaWiki)","Historical,  Drama,  Political ",Edo Period Palace Setting Tokugawa Shogunate Historical Fiction Bakumatsu Jidaigeki Smart Female Lead Taiga Adapted From A Novel Based On True Story,"Horikirizono Kentaro,  Sato Mineyo,  Watanabe Yoshio ",Tabuchi Kumiko 
Delivery Man,South Korea ,12,7.9,308,"Seo Young Min is a taxi driver who ends up with an unusual clientele - ghosts. Strangely, he finds himself exclusively ferrying these otherworldly passengers and granting their wishes.

One day, Kang Ji Hyun boards Seo Young Min's taxi, but with a catch: she has no recollection of her past life and is unable to leave the vehicle. She takes it upon herself to become Seo Young Min's taxi's sales manager.

Together, Seo Young Min and Kang Ji Hyun use the taxi to fulfill the wishes of various ghosts, even taking on the task of tracking down a serial killer. With the assistance of Do Kyu Jin, a handsome and diligent ER doctor, they try to prevent sinister events from occurring in the hospital.

(Source: CK Warrior at MyDramaList)","Mystery,  Comedy,  Romance,  Supernatural ",Taxi Setting Ghost Supporting Character Death Of A Mother Serial Killer Supporting Character Taxi Driver Male Lead Ghost Female Lead Doctor Male Lead Raised By Grandmother Strong Male Lead Fraud,Kang Sol ,Han Bo Kyung 
Chinese Paladin,China ,34,7.9,896,"The story takes place in a fantasy medieval China. Li Xiao Yao, a ""Stinky Punk"", journeys to Dream Island to find a cure for his sick aunt. There he meets and marries the love of his life, Ling'er. On his way back home with the cure, he discovers that he's been tricked by the Lunar Sect Cult so that they can kidnap Ling Er.

He awakens in his bed, having forgotten his entire trip to Dream Island but having saved his aunt. He rescues Ling'er from the Lunar Sect Cult and is, in turn, rescued by a mysterious stranger who teaches him kung fu. Xiao Yao and Ling Er travel to the capital to meet her father.

Along the way, they meet various people, get harassed by the Lunar Sect Cult, discover both of their histories, save the world and fall in love with each other all over again. It starts off sweet and lighthearted but ends with plenty of tears.

~~ Adapted from the RPG game “Chinese Paladin”.","Comedy,  Romance,  Wuxia,  Fantasy ",Xianxia Eccentric Male Lead Family Secret Aggressive Female Lead Clingy Female Lead Marriage Love Triangle Adventure Action Martial Arts,"Lee Kwok Lap,  Ng Gam Yuen,  Leung Sing Kuen,  Mai Guan Zhi ",Tang Chi Shan 
Tracer,South Korea ,8,7.9,876,"Hwang Dong Joo is the chief of taxation division 5 at the National Tax Service. He works hard to trace money that is hidden from the tax service. His team includes Seo Hye Young, who has a bright personality, and his boss is Oh Young.

Meanwhile, In Tae Joon is the director of a regional tax office. He is an ambitious man who has earned his way to the top through corrupt and illegal actions, all the while maintaining his cocky attitude.

(Source: AsianWiki, Soompi)","Action,  Thriller,  Mystery,  Drama ",Corruption Revenge Investigation Confident Male Lead Scheme Power Struggle Miniseries Suspense Brave Male Lead Death,Lee Seung Young ,Kim Hyun Jung 
Between Us,Thailand ,12,7.9,"10,490","Team is a talented swimmer who just entered university. However, when it comes to swim competitions, he's never able to perform to the best of his abilities. When swim team upperclassman Win comes to know that the problem doesn't lie in Team's abilities or dedication, but rather his trauma and the sleeping difficulties it causes, he offers up his own room for Team to stay in.

With the comfort of company, Team's performance starts to improve and feelings start to grow between the two young men. But Team isn't the only one with issues from his past preventing him from moving forward. Win struggles with how to handle receiving love and how to give special treatment to those closest to him. Occurring parallel to the events of ""Until We Meet Again,"" this story focuses on how Win and Team come to know and inspire growth in each other.

(Source: MyDramaList) 

~~ Adapted from the novel ""Hemp Rope"" (เชือกป่าน) by lazysheep.",Romance ,Friends With Benefits LGBTQ+ Bisexual Male Lead Swimming Trauma Post-traumatic Stress Disorder (PTSD) Friendship Gay Romance Neighbors' Relationship Gay Male Lead,New Siwaj Sawatmaneekul ,Inthira Thanasarnsumrit 
Burning Ice,China ,12,7.9,352,"To protect the woman he loves, a white-collar worker unintentionally becomes involved in a murder case and is from then on a suspect. In the blink of an eye, his quiet and boring life gets completely shaken up as he suddenly is both being chased by the police as well as gangsters.

(Source: CdramaBase)

~~ Adapted from the bestselling novel by Zi Jin Chen. ","Thriller,  Mystery,  Crime,  Drama ",Adapted From A Novel Murder Loan Shark Gang Sexual Assault Smart Male Lead Death Calm Male Lead Violence Serial Killings,Lu Xing ,
Punch,South Korea ,,7.9,"1,070","Wan Deuk is a high school boy who lives with his hunchback father and has the unfortunate luck of having his high school homeroom teacher as his neighbor. Despite his dad’s diminutive size, Wan Deuk considers him to be the greatest man he knows. Wan Deuk has all the makings of a troublemaker: he gets bad grades and comes from a poor, underprivileged family. But when it comes to fighting, he has never lost about. With no hopes, dreams, and nothing to offer, there’s only one thing in this world that Wan Deuk prays for—the day that he can get rid of his homeroom teacher, neighbor, and incessant meddler Dong Ju. Wan Deuk can’t seem to get away from him; stuck with the man all day at school and beckoned to him at all hours of the night at home. As he does any other day, Wan Deuk stops by the neighborhood church and prays desperately for God to kill Dong Ju.
Dong Ju is a one-of-a-kind high school educator whose pupils have cleverly nicknamed “Dung-Zoo.” He doesn’t feel the need to wake up sleeping students in study hall and only profanity seems to come out of his mouth. For some reason, he shows boundless interest in Wandeukyi, which tends to result in humiliation for the boy. Dong Ju exposes details of Wan Deuk’s family life to his classmates and even takes the food that Wan Deuk receives as government aid. Having Dong Ju barge in at night to drink with Wan Deuk’s father and uncle is nothing new for the poor boy. Then one day, Dong Ju meddles with his life by insisting that he meet his mother—a woman whose existence he himself had not known about. At his wit’s end, Wan Deuk even tries to run away from home. Unfortunately, it’s impossible for him to escape the ever-growing interest Dong Ju has in him.

(Source: CJ Entertainment)","Comedy,  Drama,  Sports ",Student Male Lead School Setting Teenager Male Lead Teacher Supporting Character Heartwarming Poverty Family Relationship Immigrant Social Issues Boxing,Lee Han ,Kim Dong Woo 
